block_position,num_distributions,vocab_values,bin_left,bin_right,count,rate
1,5951,904171136,0.0,0.025,904160216,0.9999879226403441
1,5951,904171136,0.025,0.05,1599,1.768470521049679e-06
1,5951,904171136,0.05,0.07500000000000001,776,8.582446055875865e-07
1,5951,904171136,0.07500000000000001,0.1,523,5.784303205184378e-07
1,5951,904171136,0.1,0.125,345,3.8156493418520274e-07
1,5951,904171136,0.125,0.15000000000000002,287,3.1741778582942954e-07
1,5951,904171136,0.15000000000000002,0.17500000000000002,224,2.477407108912621e-07
1,5951,904171136,0.17500000000000002,0.2,235,2.599065493725294e-07
1,5951,904171136,0.2,0.225,177,1.957594010167562e-07
1,5951,904171136,0.225,0.25,150,1.658977974718273e-07
1,5951,904171136,0.25,0.275,151,1.6700378278830612e-07
1,5951,904171136,0.275,0.30000000000000004,115,1.2718831139506758e-07
1,5951,904171136,0.30000000000000004,0.325,114,1.2608232607858874e-07
1,5951,904171136,0.325,0.35000000000000003,119,1.3161225266098297e-07
1,5951,904171136,0.35000000000000003,0.375,102,1.1281050228084255e-07
1,5951,904171136,0.375,0.4,101,1.117045169643637e-07
1,5951,904171136,0.4,0.42500000000000004,86,9.511473721718097e-08
1,5951,904171136,0.42500000000000004,0.45,91,1.0064466379957522e-07
1,5951,904171136,0.45,0.47500000000000003,93,1.0285663443253292e-07
1,5951,904171136,0.47500000000000003,0.5,88,9.732670785013868e-08
1,5951,904171136,0.5,0.525,82,9.069079595126558e-08
1,5951,904171136,0.525,0.55,84,9.290276658422327e-08
1,5951,904171136,0.55,0.5750000000000001,88,9.732670785013868e-08
1,5951,904171136,0.5750000000000001,0.6000000000000001,77,8.516086936887134e-08
1,5951,904171136,0.6000000000000001,0.625,91,1.0064466379957522e-07
1,5951,904171136,0.625,0.65,82,9.069079595126558e-08
1,5951,904171136,0.65,0.675,66,7.2995030887604e-08
1,5951,904171136,0.675,0.7000000000000001,84,9.290276658422327e-08
1,5951,904171136,0.7000000000000001,0.7250000000000001,81,8.958481063478673e-08
1,5951,904171136,0.7250000000000001,0.75,65,7.188904557112515e-08
1,5951,904171136,0.75,0.775,93,1.0285663443253292e-07
1,5951,904171136,0.775,0.8,105,1.161284582302791e-07
1,5951,904171136,0.8,0.8250000000000001,97,1.0728057569844831e-07
1,5951,904171136,0.8250000000000001,0.8500000000000001,115,1.2718831139506758e-07
1,5951,904171136,0.8500000000000001,0.875,121,1.3382422329394066e-07
1,5951,904171136,0.875,0.9,148,1.636858268388696e-07
1,5951,904171136,0.9,0.925,192,2.1234918076393892e-07
1,5951,904171136,0.925,0.9500000000000001,223,2.4663472557478324e-07
1,5951,904171136,0.9500000000000001,0.9750000000000001,413,4.5677193570576443e-07
1,5951,904171136,0.9750000000000001,1.0,3237,3.580074469442033e-06
2,5951,904171136,0.0,0.025,904157582,0.9999850094750204
2,5951,904171136,0.025,0.05,2694,2.979524442594018e-06
2,5951,904171136,0.05,0.07500000000000001,1253,1.3857996015479971e-06
2,5951,904171136,0.07500000000000001,0.1,774,8.560326349546287e-07
2,5951,904171136,0.1,0.125,587,6.492133807730841e-07
2,5951,904171136,0.125,0.15000000000000002,452,4.999053630484395e-07
2,5951,904171136,0.15000000000000002,0.17500000000000002,358,3.9594274329942777e-07
2,5951,904171136,0.17500000000000002,0.2,316,3.4949136000731614e-07
2,5951,904171136,0.2,0.225,232,2.565885934230929e-07
2,5951,904171136,0.225,0.25,237,2.621185200054871e-07
2,5951,904171136,0.25,0.275,200,2.211970632957697e-07
2,5951,904171136,0.275,0.30000000000000004,164,1.8138159190253116e-07
2,5951,904171136,0.30000000000000004,0.325,176,1.9465341570027735e-07
2,5951,904171136,0.325,0.35000000000000003,169,1.869115184849254e-07
2,5951,904171136,0.35000000000000003,0.375,141,1.5594392962351765e-07
2,5951,904171136,0.375,0.4,130,1.437780911422503e-07
2,5951,904171136,0.4,0.42500000000000004,126,1.3935414987633492e-07
2,5951,904171136,0.42500000000000004,0.45,116,1.2829429671154644e-07
2,5951,904171136,0.45,0.47500000000000003,122,1.3493020861041953e-07
2,5951,904171136,0.47500000000000003,0.5,118,1.3050626734450414e-07
2,5951,904171136,0.5,0.525,99,1.09492546331406e-07
2,5951,904171136,0.525,0.55,111,1.227643701291522e-07
2,5951,904171136,0.55,0.5750000000000001,109,1.205523994961945e-07
2,5951,904171136,0.5750000000000001,0.6000000000000001,108,1.1944641417971563e-07
2,5951,904171136,0.6000000000000001,0.625,107,1.183404288632368e-07
2,5951,904171136,0.625,0.65,115,1.2718831139506758e-07
2,5951,904171136,0.65,0.675,98,1.0838656101492715e-07
2,5951,904171136,0.675,0.7000000000000001,101,1.117045169643637e-07
2,5951,904171136,0.7000000000000001,0.7250000000000001,102,1.1281050228084255e-07
2,5951,904171136,0.7250000000000001,0.75,114,1.2608232607858874e-07
2,5951,904171136,0.75,0.775,89,9.843269316661753e-08
2,5951,904171136,0.775,0.8,115,1.2718831139506758e-07
2,5951,904171136,0.8,0.8250000000000001,115,1.2718831139506758e-07
2,5951,904171136,0.8250000000000001,0.8500000000000001,120,1.3271823797746183e-07
2,5951,904171136,0.8500000000000001,0.875,155,1.7142772405422151e-07
2,5951,904171136,0.875,0.9,135,1.4930801772464456e-07
2,5951,904171136,0.9,0.925,183,2.0239531291562928e-07
2,5951,904171136,0.925,0.9500000000000001,225,2.488466962077409e-07
2,5951,904171136,0.9500000000000001,0.9750000000000001,357,3.948367579829489e-07
2,5951,904171136,0.9750000000000001,1.0,2631,2.9098473676558505e-06
3,5951,904171136,0.0,0.025,904155437,0.9999826371365166
3,5951,904171136,0.025,0.05,3641,4.026892537299488e-06
3,5951,904171136,0.05,0.07500000000000001,1641,1.8149219043417905e-06
3,5951,904171136,0.07500000000000001,0.1,1012,1.1192571402765948e-06
