block_position,cd_final_rank_mean,cd_masked_rank_mean,cd_raw_rank_mean,cohort,count,delta_logprob_cd_final_vs_positive_mean,delta_rank_cd_final_vs_positive_mean,is_nkeep_overridden_rate,negative_rank_mean,positive_rank_mean,rate,target_in_candidate_mask_rate
1,3.5734870317002883,3.618155619596542,3.618155619596542,reject_only,694,0.0,0.0,1.0,577.671469740634,3.5734870317002883,0.12565634618866559,1.0
2,5.2235576923076925,5.543269230769231,5.543269230769231,reject_only,832,0.0,0.0,1.0,156.62980769230768,5.2235576923076925,0.15064276661234835,1.0
3,7.877883310719132,7.925373134328358,7.925373134328358,reject_only,737,0.0,0.0,1.0,120.94301221166893,7.877883310719132,0.13344196994387109,1.0
4,5.3178036605657235,5.3826955074875205,5.3826955074875205,reject_only,601,0.0,0.0,1.0,171.73377703826955,5.3178036605657235,0.10881767155531415,1.0
5,6.210735586481113,6.168986083499006,6.168986083499006,reject_only,503,0.0,0.0,1.0,293.6918489065606,6.210735586481113,0.09107369183414811,1.0
6,21.314903846153847,24.002403846153847,24.002403846153847,reject_only,416,0.0,0.0,1.0,176.2091346153846,21.314903846153847,0.07532138330617417,1.0
7,9.326984126984128,9.326984126984128,9.326984126984128,reject_only,315,0.04979851397257003,-0.5746031746031746,0.0,74.91428571428571,8.752380952380953,0.057034220532319393,1.0
8,7.155102040816327,7.155102040816327,7.155102040816327,reject_only,245,0.08630079164796946,-0.363265306122449,0.0,71.91428571428571,6.791836734693877,0.044359949302915085,1.0
9,6.448132780082988,6.448132780082988,6.448132780082988,reject_only,241,0.08201582834928363,-0.3817427385892116,0.0,82.00829875518673,6.066390041493776,0.043635705232663406,1.0
10,11.169902912621358,11.169902912621358,11.169902912621358,reject_only,206,0.0690950077135586,-0.5970873786407767,0.0,155.626213592233,10.572815533980583,0.037298569617961255,1.0
11,7.175438596491228,7.175438596491228,7.175438596491228,reject_only,171,0.056376329988066916,-0.19298245614035087,0.0,62.71345029239766,6.982456140350878,0.030961434003259097,1.0
12,13.469135802469136,13.469135802469136,13.469135802469136,reject_only,162,0.0786779883467121,-1.7962962962962963,0.0,71.37654320987654,11.67283950617284,0.02933188484519283,1.0
13,17.7125,17.7125,17.7125,reject_only,160,0.07708307765424252,-3.6875,0.0,63.55625,14.025,0.028969762810066992,1.0
14,119.56818181818181,119.56818181818181,119.56818181818181,reject_only,132,0.06583084572445262,48.77272727272727,0.0,1214.7878787878788,168.3409090909091,0.023900054318305268,1.0
15,16.13888888888889,16.13888888888889,16.13888888888889,reject_only,108,0.09177813761764103,-1.0462962962962963,0.0,147.75925925925927,15.092592592592593,0.01955458989679522,1.0
1,3.5734870317002883,3.618155619596542,3.618155619596542,reject_to_tail,694,0.0,0.0,1.0,577.671469740634,3.5734870317002883,0.01183956872579627,1.0
2,7.038007863695937,7.565530799475754,7.565530799475754,reject_to_tail,1526,0.0,0.0,1.0,144.1389252948886,7.038007863695937,0.02603340327891226,1.0
3,28.707909854175874,31.61864781263809,31.61864781263809,reject_to_tail,2263,0.0,0.0,1.0,109.03977021652673,28.707909854175874,0.03860654758858351,1.0
4,52.30027932960894,51.775837988826815,51.775837988826815,reject_to_tail,2864,0.0,0.0,1.0,188.39350558659217,52.30027932960894,0.04885954586553389,1.0
5,49.20790020790021,58.152658152658155,58.152658152658155,reject_to_tail,3367,0.0,0.0,1.0,134.84615384615384,49.20790020790021,0.057440674207141273,1.0
6,34.304520222045994,37.50436161776368,37.50436161776368,reject_to_tail,3783,0.0,0.0,1.0,120.39703938673011,34.304520222045994,0.06453759148369927,1.0
7,61.02440214738897,61.02440214738897,61.02440214738897,reject_to_tail,4098,0.04921950744900806,-2.335285505124451,0.0,121.84285017081503,58.68911664226452,0.06991145913301602,1.0
8,64.56504720239465,64.56504720239465,64.56504720239465,reject_to_tail,4343,0.058218931885271274,-0.8351370020723002,0.0,150.99470412157496,63.72991020032236,0.0740911339713735,1.0
9,90.96400523560209,90.96400523560209,90.96400523560209,reject_to_tail,4584,0.05918395811491523,-5.2201134380453755,0.0,149.35405759162305,85.74389179755671,0.07820256922053329,1.0
10,120.89185803757829,120.89185803757829,120.89185803757829,reject_to_tail,4790,0.05597186697904287,-7.439665970772443,0.0,145.45281837160752,113.45219206680585,0.08171690806421346,1.0
11,62.020157226365654,62.020157226365654,62.020157226365654,reject_to_tail,4961,0.056213623950113555,-5.803063898407579,0.0,104.44204797419874,56.217093327958075,0.08463415050241398,1.0
12,107.70310365020495,107.70310365020495,107.70310365020495,reject_to_tail,5123,0.05609510645599163,-7.567050556314659,0.0,116.92484872145228,100.1360530938903,0.08739785386491973,1.0
13,110.89948892674617,110.89948892674617,110.89948892674617,reject_to_tail,5283,0.0459447250989552,-7.578459208782888,0.0,123.45409805035018,103.32102971796328,0.09012743743282665,1.0
14,99.98578024007386,99.98578024007386,99.98578024007386,reject_to_tail,5415,0.04639439717677481,-9.987626962142198,0.0,151.67423822714682,89.99815327793168,0.09237934387634987,1.0
15,131.17544812601847,131.17544812601847,131.17544812601847,reject_to_tail,5523,0.050341087497413686,-11.691290965055224,0.0,130.50823827629912,119.48415716096325,0.09422181278468704,1.0
